Neighborhood,Latitude,Longitude
Quartieri di Milano,45.47139000000004,9.206450000000075
Affori,45.51410000000004,9.173530000000028
Arzaga,45.45467000000008,9.136130000000037
Baggio ,45.46324000000004,9.092700000000036
Barona ,45.433710000000076,9.15160000000003
Bicocca ,45.52149000000003,9.213260000000048
Boldinasco,45.49178000000006,9.14187000000004
Borgo degli Ortolani,45.57643865577999,9.061037195982879
Bottonuto,45.46796000000006,9.18178000000006
Bovisa,45.503130000000056,9.161220000000071
Bovisasca,45.515550000000076,9.150940000000048
Bruzzano,45.52825000000007,9.180710000000033
Cagnola ,45.492380000000026,9.15187000000003
Calvairate,45.456180000000074,9.224880000000041
Quartiere Campo dei Fiori,45.52688505059429,8.907860097898094
Cascina Merlata,45.54799234966403,8.994257200554808
Casoretto,45.48873000000003,9.22986000000003
Cavriano,45.46692000000007,9.24147000000005
Centro direzionale di Milano,45.50198373621629,9.264641249871804
Chiaravalle ,45.415680000000066,9.239790000000028
Quartiere Chiesa Rossa,45.41668431692717,9.164223329947587
Chinatown di Milano,45.500860000000046,9.265130000000056
Cimiano,45.503460000000075,9.248800000000074
Città Studi,45.47708000000006,9.226600000000076
Comasina,45.52631000000008,9.158870000000036
Conca del Naviglio,45.38412135138062,9.13262883708055
Corvetto ,45.43988000000007,9.224770000000035
Crescenzago,45.51054000000005,9.24386000000004
Dergano,45.504110000000026,9.176470000000052
Quartiere Feltre,45.49151657501194,9.248202634870026
Figino,45.49234000000007,9.078520000000026
Quartiere Forlanini,45.46421214474756,9.248710994534482
Gallaratese ,45.496710000000064,9.114840000000072
Garegnano,45.50469000000004,9.136970000000076
Ghisolfa,45.49631000000005,9.169400000000053
Gorla ,45.505900000000054,9.22264000000007
Gratosoglio,45.41459000000003,9.171220000000062
Greco ,45.49702000000008,9.212120000000027
Quartiere Harar,45.47629005996339,9.11809487425316
Isola ,45.48750000000007,9.188870000000065
Lambrate,45.48157000000003,9.251720000000034
Lampugnano,45.49163000000004,9.121960000000058
Lorenteggio,45.443610000000035,9.123010000000022
Macconago,45.41344000000004,9.210550000000069
Maggiolina,45.46264503405553,8.970445086700124
MIND,45.46796000000006,9.18178000000006
Quartiere Missaglia,45.4246220482286,9.177412341589148
Monluè,45.45234000000005,9.253770000000031
Montalbino ,45.501450000000034,9.186840000000075
Morivione,45.440990000000056,9.18781000000007
Morsenchio,45.44213000000008,9.245050000000049
Muggiano ,45.44832000000008,9.064010000000053
Musocco,45.50415000000004,9.12146000000007
Niguarda,45.51840000000004,9.192010000000039
Nolo ,45.54580000000004,9.389880000000062
Nosedo,45.43381000000005,9.221370000000036
Quartiere degli Olmi,45.454620000000034,9.082040000000063
Ortica ,45.47096000000005,9.241600000000062
Ponte Lambro ,45.44240000000008,9.264200000000073
Porta Genova ,45.45790000000005,9.174570000000074
Portello,45.49020000000007,9.145650000000046
Porto di Mare,45.435550000000035,9.229170000000067
Prato Centenaro,45.506710000000055,9.19921000000005
Precotto,45.51541000000003,9.225530000000049
Progetto Porta Nuova,45.47971000000007,9.192470000000071
QT8,45.48603000000003,9.138410000000022
Quadrilatero della moda,45.46796000000006,9.18178000000006
Quarto Cagnino,45.46867000000003,9.111430000000041
Quarto Oggiaro,45.51674000000003,9.140900000000045
Quinto Romano,45.47684000000004,9.088840000000062
Quintosole,45.40213000000006,9.204620000000034
Rogoredo ,45.43016000000006,9.244000000000028
Ronchetto delle Rane,45.40184000000005,9.17882000000003
Ronchetto sul Naviglio,45.438090000000045,9.128310000000056
Roserio,45.52252000000004,9.099180000000047
Rottole,45.49615000000006,9.22995000000003
San Leonardo ,45.50213000000008,9.10080000000005
San Siro ,45.480740000000026,9.12823000000003
Quartiere Sant'Ambrogio,45.43282496718055,8.867201497812719
Santa Giulia ,44.83848000000006,12.377560000000074
Segnano,45.50691000000006,9.206050000000062
Sella Nuova,45.45867814549031,9.108250604752756
Selvanesco,45.418030000000044,9.196290000000033
Quartiere Stadera,45.43428505325424,9.182215085803634
Taliedo,45.45143000000007,9.248460000000023
Ticinese,45.453940000000046,9.182240000000036
Trenno,45.492260000000044,9.105260000000044
Turro ,45.49452000000008,9.22171000000003
Vaiano Valle,45.42893000000004,9.216200000000072
Quartiere Valsesia,45.61581375297652,8.965506757925716
Quartiere Varesina,45.51558381385372,9.122596244603601
Vialba,45.51491000000004,9.128150000000062
Vigentino,45.43372000000005,9.201040000000035
Villaggio dei Giornalisti,45.49599000000006,9.20234000000005
Villapizzone,45.49834000000004,9.144530000000032
Zona Tortona,45.45262000000008,9.165320000000065
